Álbum,Título da Música,Letra
My Everything,My Everything,"I cried enough tears to see my own reflection in them
And then it was clear
I can't deny, I really miss it
To think that I was wrong
I guess you don't know what you got 'til it's gone
Pain is just a consequence of love
I'm saying sorry for the sake of us

He wasn't my everything 'til we were nothing
And it's taking me a lot to say
But now that he's gone, my heart is missing something
So it's time I push my pride away
'Cause you are, you are
You are my everything
You are, you are
You are my everything

I know you're not far, but I still can't handle all the distance
You're traveling with my heart
I hope this is a temporary feeling
'Cause it's too much to bear without you
And I know ""sorry"" ain't the cure
If I cross your mind, just know I'm yours
'Cause what we got is worth fighting for
'Cause you are

You weren't my everything 'til we were nothing
And it's taking me a lot to say
Now that you're gone, my heart is missing something
So it's time I push my pride away
You are, you are
You are my everything
You are, you are
You are my everything

Ooh, mm-ah, yeah
You are, you are, you are, ooh
You are, you are, you are
My everything"
My Everything,Bang Bang,"She got a body like an hourglass
But I can give it to you all the time
She got a booty like a Cadillac
But I can send you into overdrive, oh

You've been waiting for that
Step on up, swing your bat
See, anybody could be bad to you
You need a good girl to blow your mind, yeah

Bang, bang into the room (I know you want it)
Bang, bang all over you (I'll let you have it)
Wait a minute, let me take you there (Oh)
Wait a minute 'til you (Oh, hey!)
Bang, bang, there goes your heart (I know you want it)
Back, back seat of my car (I'll let you have it)
Wait a minute, let me take you there (Oh)
Wait a minute 'til you (Oh, hey!)
She might'a let you hold her hand in school
But I'ma show you how to graduate (Mm-hmm)
No, I don't need to hear you talk the talk
Just come and show me what your momma gave ya, baby

I heard you've got a very big (Shhh)
Mouth but don't say a thing
See, anybody could be good to you
You need a bad girl to blow your mind

Bang, bang into the room (I know you want it)
Bang, bang all over you (I'll let you have it)
Wait a minute, let me take you there (Oh)
Wait a minute 'til you (Oh, hey!)
Bang, bang, there goes your heart (There goes your heart now, I know you want it)
Back, back seat of my car (Seat of my car, I'll let you have it)
Wait a minute, let me take you there (Oh)
Wait a minute 'til you (Oh, hey!)

You know what, girls?
Let me show you how to do it

It's Myx Moscato, it's frizz in a bottle, it's Nicki Full Throttle, it's oh, oh
Swimming in The Grotto, we winning in the lotto, we dipping in the Powder Blue four-door
Kitten so good, it's dripping on wood, get a ride in the engine that could go
Batman, robbin' it, bang, bang, cockin' it, Queen Nicki dominant, prominent
It's me, Jessie, and Ari, if they test me, they sorry
Ride his uh like a Harley then pull off in his Ferrari
If he hangin', we bangin', phone rangin', he slangin'
It ain't karaoke night, but get the mic, 'cause I'm singin'
Uh, B to the A to the N to the G to the (Baby, baby, baby, bae, ba—baby)
Uh, B to the A to the N to the G to the, hey

See, anybody could be good to you
You need a bad girl to blow your mind, your mind (Okay)
Hey

Bang, bang into the room (Oh, I know you want it)
Bang, bang all over you (I'll let you have it, b-bang, bang, bang, bang, baby)
Wait a minute, let me take you there (Oh)
Wait a minute 'til you (Oh, yeah!) (Kyuh, uh-huh)
Bang, bang, there goes your heart (There goes your heart, I know you want it)
Back, back seat of my car (I'll let you have it)
Wait a minute, let me take you there (Let me take you there)
Wait a minute 'til you (Oh, hey!)
Bang, bang into the room (I know you want it)
Bang, bang all over you (I'll let you have it), yo, I said
Bang, bang, bang, ba—bang, bang
Bang, bang, bang, bang, ba—bang, bang
Bang, bang, there goes your heart (I know you want it)
Back, back seat of my car (I'll let you have it)
Wait a minute, let me take you there (Oh)
Wait a minute 'til you (Oh, hey!)"
Dangerous Woman,Moonlight,"The sun is setting and you're right here by my side
And the movie is playing, but we won't be watching tonight
Every look (Every look), every touch (Every touch)
Makes me wanna give you my heart (Ooh-ooh)
I be crushin' on you, baby (Ooh)
Stay right where you are, 'cause

I never knew, I never knew
You could hold moonlight in your hands
'Til the night I held you
You are my moonlight, moonlight

I kiss his fingertips as I'm wishing he's all mine
He's giving me Elvis with some James Dean in his eyes
Puts his lips (Puts his lips) on my neck (On my neck)
Makes me wanna give him my body (Ooh-ooh)
I be fallin' for you, baby (Ooh)
And I just can't stop, 'cause

I never knew, I never knew
You could hold moonlight in your hands
'Til the night I held you
You are my moonlight, moonlight
Baby, I be fallin'
You're my moonlight, moonlight

He's so bossy, he makes me dance
Tryna sit in the back of his whip and just cancel my plans
Sweet like candy, but he's such a man
He knows just what it does when he's holding me tight
And he calls me ""Moonlight"" too"
Dangerous Woman,Dangerous Woman,"Oh, yeah

Don't need permission
Made my decision to test my limits
'Cause it's my business, God as my witness
Start what I finished
Don't need no hold up
Taking control of this kind of moment
I'm locked and loaded
Completely focused, my mind is open

All that you got
Skin to skin, oh my God
Don't you stop, boy

Somethin' 'bout you makes me feel like a dangerous woman
Somethin' 'bout, somethin' 'bout, somethin' 'bout you
Makes me wanna do things that I shouldn't
Somethin' 'bout, somethin' 'bout, somethin' 'bout

Nothing to prove and I'm bulletproof and
Know what I'm doing
The way we're movin'
Like introducing us to a new thing
I wanna savor, save it for later
The taste, the flavor, 'cause I'm a taker, 'cause I'm a giver
It's only nature, I live for danger

All that you got
Skin to skin, oh my God
Don't ya stop, boy (Oh, yeah)

Somethin' 'bout you makes me feel like a dangerous woman
Somethin' 'bout, somethin' 'bout, somethin' 'bout you
Makes me wanna do things that I shouldn't
Somethin' 'bout, somethin' 'bout, somethin' 'bout you

All girls wanna be like that
Bad girls underneath, like that
You know how I'm feeling inside
(Somethin' 'bout, somethin' 'bout—)
All girls wanna be like that
Bad girls underneath, like that
You know how I'm feeling inside
(Somethin' 'bout, somethin' 'bout—)
Mm-mm
Ooh-ooh

Somethin' 'bout you makes me feel like a dangerous woman
Somethin' 'bout, somethin' 'bout, somethin' 'bout you
Makes me wanna do things that I shouldn't (Yeah)
Somethin' 'bout, somethin' 'bout, somethin' 'bout you (Yeah)

All girls wanna be like that (Mm-mm)
Bad girls underneath like that
You know how I'm feeling inside (You know how I'm feeling inside, baby)
(Somethin' 'bout, somethin' 'bout you)
All girls wanna be like that
Bad girls underneath like that
You know how I'm feeling inside
(Somethin' 'bout, somethin' 'bout—)
Yeah, there's somethin' 'bout you, boy (Ha)
Yeah, there's somethin' 'bout you, boy (Ha-ah-ayy)
Yeah, there's somethin' 'bout you, boy
(Somethin' 'bout, somethin' 'bout, somethin' 'bout you)
Yeah, there's somethin' 'bout you, boy
Yeah, there's somethin' 'bout you, boy
Yeah, there's somethin' 'bout you, boy, oh, yeah
(Somethin' 'bout, somethin' 'bout, somethin' 'bout) You"
Dangerous Woman,Be Alright,"Ha-ah, ah-yeah
Oh, oh-woah
Ah-yeah
Say

Midnight shadows
When finding love is a battle
But daylight is so close
So don't you worry 'bout a thing

We're gonna be alright (Hey)
We're gonna be alright (Oh, yeah, oh, yeah)
We're gonna be alright

Baby, don't you know?
All of them tears gon' come and go
Baby, you just gotta make up your mind
That every little thing is gonna be alright
Baby, don't you know?
All of them tears gon' come and go
Baby, you just gotta make up your mind
We decide it

We're gonna be alright (Hey-hey, hey)
We're gonna be alright, yeah (Ah-ayy, ah-ayy, ah, oh, yeah, hey)
We're gonna be alright

In slow motion
Can't seem to get where we're going
But the hard times are golden
'Cause they all lead to better days

We're gonna be alright (Hey)
We're gonna be alright, babe (Yeah, oh, yeah, oh, yeah)
We're gonna be alright

Baby, don't you know?
All of them tears gon' come and go
Baby, you just gotta make up your mind
That every little thing is gonna be alright (Ooh, yeah)
Baby, don't you know?
All of them tears gon' come and go
Baby, you just gotta make up your mind
We decide it (Ooh)

We're gonna be alright (Hey)
We're gonna be alright, ooh, baby, ooh (Oh, yeah, oh, yeah)
We're gonna be alright

We're gonna be alright, ayy, ayy"
Dangerous Woman,Into You,"I'm so into you, I can barely breathe
And all I wanna do is to fall in deep
But close ain't close enough till we cross the line, hey-yeah
So name a game to play, and I'll roll the dice, hey

Oh, baby, look what you started
The temperature's risin' in here
Is this gonna happen?
Been waitin' and waitin' for you to make a move (Ooh)
Before I make a move (Ooh)

So baby, come light me up
And baby, I'll let you on it
A little bit dangerous
But baby, that's how I want it
A little less conversation and a
Little more touch my body
'Cause I'm so into you, into you, into you
Got everyone watchin' us
So baby, let's keep it secret
A little bit scandalous
But baby, don't let them see it
A little less conversation and a
Little more touch my body
'Cause I'm so into you, into you, into you

Ooh, yeah
This could take some time, hey
Made too many mistakes
Better get this right
Right, baby

Oh, baby, look what you started
The temperature's risin' in here
Is this gonna happen?
Been waitin' and waitin' for you to make a move (Ooh)
Before I make a move (Ooh)

So, baby, come light me up
And baby, I'll let you on it
A little bit dangerous
But baby, that's how I want it
A little less conversation and a
Little more touch my body
'Cause I'm so into you, into you, into you
Got everyone watchin' us
So baby, let's keep it secret (Mm)
A little bit scandalous
But baby, don't let them see it
A little less conversation and a
Little more touch my body
'Cause I'm so into you, into you, into you ('Cause I'm so into you)

Tell me what you came here for
'Cause I can't, I can't wait no more
I'm on the edge of no control
And I need, I need you to know, you to know
Oh-woah, yeah

So, baby, come light me up (Light me up)
And baby, I'll let you on it
A little bit dangerous (Little dangerous)
But baby, that's how I want it (How I want it)
A little less conversation and a
Little more touch my body
'Cause I'm so into you, into you, into you (No, ayy)
Got everyone watchin' us (Watchin' us)
So baby, let's keep it secret
A little bit scandalous (Scandalous)
But baby, don't let them see it (Yeah)
A little less conversation (Yeah) and a
Little more touch my body
'Cause I'm so into you, into you, into you (Ooh, ooh)

So, come light me up
So, come light me up, my baby
Little dangerous
A little dangerous, my boy (How I want it)
A little less conversation and a
Little more touch my body
'Cause I'm so into you, into you, into you (I'm so into you)"
Dangerous Woman,Side To Side,"I've been here all night (Ariana)
I've been here all day (Nicki Minaj)
And, boy, got me walkin' side to side (Let them hoes know)

I'm talkin' to ya
See you standing over there with your body
Feeling like I wanna rock with your body
And we don't gotta think 'bout nothin' ('Bout nothin')
I'm comin' at ya
'Cause I know you got a bad reputation
Doesn't matter, 'cause you give me temptation
And we don't gotta think 'bout nothin' ('Bout nothin')

These friends keep talkin' way too much
Say I should give you up
Can't hear them, no, 'cause I—

I've been here all night
I've been here all day
And, boy, got me walkin' side to side
I've been here all night
I've been here all day
And, boy, got me walkin' side to side (Side to side)

Been tryna hide it
Baby, what's it gonna hurt if they don't know?
Makin' everybody think that we solo
Just as long as you know you got me (You got me)
And, boy, I got ya
'Cause tonight I'm making deals with the devil
And I know it's gonna get me in trouble
Just as long as you know you got me

These friends keep talkin' way too much
Say I should give you up
Can't hear them, no, 'cause I—

I've been here all night
I've been here all day
And, boy, got me walkin' side to side (Side to side)
I've been here all night (Been here all night, baby)
I've been here all day (Been here all day, baby, yeah)
And, boy, got me walkin' side to side (Side to side, boy)

Uh, yo
This the new style with the fresh type of flow
Wrist icicle, ride dick bicycle
Come through, yo, get you this type of blow
If you wanna ménage, I got a tricycle
All these bitches' flows is my mini-me
Body smoking, so they call me Young Nicki Chimney
Rappers in they feelings 'cause they feelin' me (Murder)
Uh, I-I give zero fucks and I got zero chill in me
Kissing me, copped the blue box that say Tiffany
Curry with the shot, just tell 'em to call me Stephanie
Gun pop, then I make my gum pop
I'm the queen of rap, young Ariana run pop, uh

These friends keep talkin' way too much (Way too much)
Say I should give him up (Give him up)
Can't hear them, no, 'cause I—

I've been here all night (Been here all night, baby)
I've been here all day (Been here all night, baby, yeah)
And, boy (Boy), got me walkin' side to side (Side to side)
I've been here all night (Been here all night, babe)
I've been here all day (Been here all day, baby, yeah; Ooh, baby)
And, boy (No), got me walkin' side to side (Side to side)
(Yeah, yeah-yeah-yeah)

Uh, yo
This the new style with the fresh type of flow (Been here all night, baby)
Wrist icicle, ride dick bicycle (Been here all day, baby; Ayy)
Come through, yo, get you this type of blow (No)
If you want a ménage, I got a tricycle (Side to side, yeah)"
Dangerous Woman,Let Me Love You,"I just broke up with my ex
Now I'm out here single, I don't really know what's next
But I ain't even trippin', I'ma chill and sit back
And I know they will be comin' from the right and the left
Left, left
I just broke up with my ex and
You're the one I'm feeling as I'm laying on your chest
Good conversation got me holding my breath
And I don't normally say this but goddamn, you the best
Best, best

And if it feels right, promise I don't mind (Ah)
And if it feels right, promise I'll stay here all night

Just let me lo-o-o-o-o-o-o-love you, you
Just let me lo-o-o-o-o-o-o-love you, you
Just let me lo-o-o-o-o-o-o-love you, you
Just let me lo-o-o-o-o-o-o-love you, you

As I'm laying on your chest
I'll be out here thinkin' 'bout it, boy, it's just a guess
But something just keeps telling me I'm better than the rest
And I ain't tryna rush you, but, goddamn, I'm a mess, mess, mess

And if it feels right, promise I don't mind (Ah)
And if it feels right, promise I'll stay here all night

Just let me lo-o-o-o-o-o-o-love you, you
Just let me lo-o-o-o-o-o-o-love you, you
Just let me lo-o-o-o-o-o-o-love you, you
Just let me lo-o-o-o-o-o-o-love you, you

I say, ""Girl, you need a hot boy""
She say, ""You need to stop **** with them thots, boy""
I say ""You need a real ****,"" she say, ""Yes, Lord""
And what you need your ex for? I'm triple X, Lord
Okay, Ariana my lil mama, goodbye to the good girl
My ex tripping, it's no Biggie, I 2Pac shook her
I'm laid up with my new thing
She lay her head on my new chain
Then the mood change, then my name change
From Lil Wayne to ""Ooh, Wayne,"" oh, Lord
She grinding on this Grande, oh, Lord
I'm drowning, I'm gon' need that Coast Guard
And when it comes to that ****, I give her amnesia
She just looking for love, she say she single and I'm her feature
Oh, my God

(You're no good, boy, just let me love you, baby)
Just let me lo-o-o-o-o-o-o-love you, you
Tunechi, Mula, baby
Just let me lo-o-o-o-o-o-o-love you, you
(Boy, just let me love you, yeah, yeah, ah)
Just let me lo-o-o-o-o-o-o-love you, you
She just looking for love (I'm looking for love)
Just let me lo-o-o-o-o-o-o-love you, you
She just looking for love, yeah (Yeah, I'm looking for love, baby)
Just let me lo-o-o-o-o-o-o-love you, you
She just looking for love, yeah (I'm looking for love, baby)
Just let me lo-o-o-o-o-o-o-love you, you
She just looking for love, yeah (Hey, yeah, yeah, yeah)
She's just looking for love (Mm, yeah)

I'ma give her that love, yeah
He gon' gimme that love
She's just looking for love, oh
Boy, I'm looking for love, baby
I'ma give her that love
I'ma give her that
I'ma give her that"
Dangerous Woman,Greedy,"Greedy, ooh
You know that I'm greedy for love
Ah

Boy, you give me feelings never felt before (Ah-ooh)
I'm making it obvious by knocking at your door
I know that I'm coming tonight (Ah)
You know I'm coming tonight (Ah-ooh)
Don't want to deny it anymore (Ah)

Been in this state of mind
Been in this state of mind (Ah)
Been in this state of mind all night (Ah)

Baby, you got lucky, 'cause you're rocking with the best
And I'm greedy
'Cause I'm so greedy
'Cause I'm so—
I ain't talking money, I'm just physically obsessed
And I'm greedy
'Cause I'm so greedy
'Cause I'm so—
Greedy, ooh
You know that I'm greedy for love
You know that I'm greedy for love
'Cause I'm so greedy, ooh
You know that I'm greedy for love
You know that I'm greedy for love
'Cause I'm so—

(Ah) I don't need a phone call
Got nothing to say (Ah-ooh)
I'ma tell you when it's over
Got no games to play
(Ah) You know that I'm coming tonight
I know I'm coming tonight (Ah-ooh)
I just need to get this out the way, oh baby (Ah)

Been in this state of mind
Been in this state of mind (Ooh-ooh; Ah)
Been in this state of mind all night (Ah)

Baby, you got lucky, 'cause you're rocking with the best
And I'm greedy
'Cause I'm so greedy
'Cause I'm so—
I ain't talking money, I'm just physically obsessed
And I'm greedy
'Cause I'm so greedy
'Cause I'm so— (So)
Greedy, ooh
You know that I'm greedy for love
You know that I'm greedy for love
'Cause I'm so greedy, ooh (Ooh, baby)
You know that I'm greedy for love
You know that I'm greedy for love
'Cause I'm so— (Oh-yeah, ayy)

Uh
Oh, yeah
Greedy, I'm greedy, I'm greedy, I'm greedy
I'm greedy, I'm greedy, I'm greedy, I'm greedy for love
(Ha-ooh, ha-ooh-ooh, ha-ooh)
Greedy, I'm greedy, I'm greedy, I'm greedy
I'm greedy, I'm greedy, I'm greedy, I'm greedy for love
(Ha-ooh, ha-ooh-ooh, ha-ooh)
Woo

Baby, you got lucky, 'cause you're rocking with the best (Hey)
And I'm greedy
'Cause I'm so greedy (Oh, no, baby)
'Cause I'm so—
I ain't talking money, I'm just physically obsessed
And I'm greedy
'Cause I'm so greedy (Oh)
'Cause I'm so—
Greedy, ooh
You know that I'm greedy for love
You know that I'm greedy for love (Boy, yeah)
'Cause I'm so greedy, ooh (Ooh)
You know that I'm greedy for love (Hey)
You know that I'm greedy for love (You know I'm)
'Cause I'm so greedy, ooh
You know that I'm greedy for love
(Boy, don't you know I'm greedy?)
You know that I'm greedy for love
(Boy, don't you know I'm)
'Cause I'm so greedy, ooh
You know that I'm greedy for love (Woo)
You know that I'm greedy for love
'Cause I'm so—"
Dangerous Woman,Leave Me Lonely,"Dangerous love (Ooh)
You're no good for me, darling (Aah)
Yeah, you turn me away (Ooh)
Like I'm begging for a dollar
Danger (Ooh), oh, how you hold me (Aah)
I get a chill inside (Ooh)
And nothing frightens me, baby (Ayy), more

Is it love when so easily you said goodbye?
Is it love when we've given up before we tried? Mm
Is it love when you stole my peace of mind?
Is it love when you cry, and cry, and cry?

So when you walk out that door
Don't you come back no more
My heart has had enough of the give and take
And as much as I want you to stay

You're a dangerous love (Ooh)
Maybe you're no good for me, darling (Aah)
'Cause if you're gonna love me and leave me hanging here (Ooh)
Then I'd rather you leave me lonely
Even though it hurts
Ooh, you're a dangerous love, hey

Dangerous love (Ooh)
You're no good for me, darling (Aah)
Yeah, you turn me away (Ooh)
Like I'm begging for a dollar
Danger (Ooh), oh, how you hold me (Aah)
I get a chill inside (Ooh)
And nothing frightens me, baby, more

So when you walk out that door
Don't you come back no more
My heart has had enough of the give and take
And as much as I want you to stay

You're a dangerous love (Ooh)
Maybe you're no good for me, darling (Aah)
'Cause if you're gonna love me and leave me hanging here (Ooh)
Then I'd rather you leave, leave me lonely
Even though it hurts
Mm, you're a dangerous love, baby

Dangerous love (Ooh)
You're no good for me, darling (Aah)
Yeah, you turn me away (Ooh)
Like I'm begging for a dollar
Danger (Ooh), oh, how you hold me (Aah)
I get a chill inside (Ooh)
And nothing frightens me, baby, more"
Dangerous Woman,Everyday,"Anytime I'm alone
I can't help thinking about you
All I want, all I need
All I see is just me and you

He giving me that good shit
That make me not quit, that good shit
He giving me that good shit
That make me not quit, that good shit

Oh, he give it to me
Every day, every day, every day, every
He give it to me
Every day, every day, every day, every
Oh, he give it to me
Every day, every day, every day, every
He give it to me
Every day, every day, every day, every

Anytime, anywhere
Baby boy, I can misbehave
Breathe me in, breathe me out
Feel me, I'm running through your veins

He giving me that good shit
That make me not quit, that good shit
He giving me that good shit
That make me not quit, that good shit (Hol' up, hol' up, hol' up, hol' up, turn up, turn up)

Oh, he give it to me
Every day, every day (Yee), every day (Yee), every (Yee)
He give it to me
Every day, every day, every day, every
Oh, he give it to me
Every day, every day (Yee), every day (Yee), every (Yee)
He give it to me (To me)
Every day, every day, every day, every

You make me go
La-la-la-la-la, la-la-la-la, la-la, ah
La-la-la-la-la, la-la-la
Every day, every
La-la-la-la-la, la-la-la-la, la-la, ah
La-la-la-la-la, la-la-la
Every day, every

I put that work on you every day (Every day)
When the night fall 'til the sun come up (Every day)
You done fell in love with a bad guy (Guy)
I don't compromise my passion (Passion, passion)
You know what you do for me (Yeah)
I'm doing the same for you
I don't be trippin' or makin' mistakes (Yeah)
I made too many in my past (That's right, ooh, baby)
I fight for the things you believe in (Turn up)
I got your body and put it in drive, baby
Like I got keys in (Ooh-woah, yeah)
We 'bout to take us a vacation (Skrr)
I'm 'bout to put all this vintage lovin' on you
Baby, like it was the late 80's (Skrr)
When you ride on me, baby, rotate it

He giving me that good shit (Yeah)
That make me not quit, that good shit (Let me turn it up)

Oh, he give it to me
Every day, every day, every day, every
He give it to me
Every day, every day, every day, every
Oh, he give it to me (Ooh)
Every day, every day, every day, every
He give it to me (Ooh, baby)
Every day, every day, every day, every

You make me go
La-la-la-la-la, la-la-la-la, la-la, ah
La-la-la-la-la, la-la-la (La-la-la, hey)
Every day, every
La-la-la-la-la, la-la-la-la, la-la, ah
La-la-la-la-la, la-la-la
Every day, every

He give it to me, to me (Ah, oh-woah-woah)
She got me on it
Oh, he give it to me every day (Ah, oh-woah-woah)
She got me on it"
Dangerous Woman,Sometimes,"La, la, la, la, la, la, la
La, la, la, la, la, la, la
La, la, la, la, la, la, la
La, la, la, la, la, la, la

I've never been so caught up
Still so into us
I never thought I'd be here
Should've turned to dust
Ooh, let's be honest, baby
This is so unusual
Ooh, I'm not tempted, baby
Even if they're beautiful

I used to be cautious
A little too reckless
Now all my emotions
Are all 'cause of you

I ain't even think of leaving sometimes
I ain't even think of letting go
I ain't ever thought of going nowhere
I don't even see it down the road
'Cause we're collectin' moments
Tattoos on my mind
I ain't even think of leaving sometimes
I ain't even think of letting go
Not even sometimes

La, la, la, la, la, la, la
La, la, la, la, la, la, la
La, la, la, la, la, la, la
La, la, la, la, la, la, la

Ooh, let's be honest, baby
This is so unusual
Ooh, I'm not tempted, baby
Even if they're beautiful, mm

It used to be easy
For someone to steal me
Now all my emotions
Are all 'cause of you, boy

I ain't even think of leaving sometimes
I ain't even think of letting go
I ain't ever thought of going nowhere
I don't even see it down the road
'Cause we're collectin' moments
Tattoos on my mind
I ain't even think of leaving sometimes
I ain't even think of letting go
Not even sometimes, babe

I don't know, I don't know, I don't know
Why it never worked, but it's going to now
You don't know, you don't know, you don't know
What it does to me when I feel you around
Is it love? Is it lust? Is it fear?
But it's hard to breathe when you're touching me there
Hard to breathe when you're kissing me there
Hard to breathe when you're not here

I ain't even think of leaving sometimes
I ain't even think of letting go
I ain't ever thought of going nowhere
I don't even see it down the road
'Cause we're collectin' moments
Tattoos on my mind
I ain't even think of leaving sometimes
I ain't even think of letting go (Oh, yeah, baby)
Not even sometimes
La, la, la, la, la, la, la (Ooh)
La, la, la, la, la, la, la
Not even sometimes
La, la, la, la, la, la, la (Oh, yeah)
La, la, la, la, la, la, la
'Cause we're collectin' moments
Tattoos on my mind (Baby)
I ain't even think of leaving sometimes
I ain't even think of letting go (No way)
Not even sometimes

La, la, la, la, la, la, la
Not even sometimes
Not even sometimes
La, la, la, la, la, la, la
La, la, la, la, la, la, la"
Dangerous Woman,I Don’t Care,"Used to cry 'bout some crazy shit before
I used to feel so obligated to be so much more
I used to let some people tell me how to live and what to be
But if I can't be me, the fuck's the point?
No

I don't care about it anymore, oh
I don't care about it anymore, mm

Now I laugh about the things that used to be important to me
Used to have a hold on me (Used to have a hold on me)
Like what do you think, and what he thinks, and what they think
But I love me, yeah-yeah

I don't care about it anymore, oh
I don't care about it anymore, oh

Yeah-yeah-yeah, yeah-yeah-yeah
Yeah, yeah, yeah, uh
I-I-I, yeah-yeah, yeah, uh
Oh-woah, yeah
Oh-oh-oh-oh, ooh, ooh-ooh, uh
I-I don't care about it anymore
I-I don't care about it anymore, no"
Dangerous Woman,Bad Decisions,"No, yeah
Hey

Boy, you know that you drive me crazy
But it's one of the things I like
'Cause I know when you need it, baby
That I got that, ooh-ooh
Let 'em keep, let 'em keep on talkin'
But it don't matter what they say
'Cause you know when you hear me knockin'
Gonna get that, ooh-ooh

I've been doing stupid things (Ayy)
Wilder than I've ever been (Ayy)
You've become my favorite sin
So let 'em keep, let 'em keep on talking
That's right

We got that hood love
We got that good love
We got that hot love
We got that ""I don't give a what"" love
We got that one life
Gimme that all night
We got that Bonnie and Clyde love
They say it's wrong
But, that's the way you turn me on
We got that hood love
We got that good love
Make me make bad
Boy, you make me make bad decisions
Bad
Boy, you make me make bad decisions

No, they ain't gonna understand it
Understand what I see in you
They don't know when you touch my body
That I see the truth
Let 'em keep, let 'em keep on talking
'Cause I know that I got someone
Anytime that I need some danger
Gonna get that, ooh-ooh

I've been doing stupid things (Ah)
Wilder than I've ever been
You've become my favorite sin
So let 'em keep, let 'em keep on talking
That's right

We got that hood love
We got that good love
We got that hot love
We got that ""I don't give a what"" love
We got that one life
Gimme that all night
We got that Bonnie and Clyde love
They say it's wrong (They say it's wrong)
But, that's the way you turn me on
We got that hood love
We got that good love
Make me make bad
Boy, you make me make bad decisions (Boy, you make me)
Bad
Boy, you make me make bad decisions (Boy, babe)

Nah, yeah
Don't you know I ain't fuckin' with them good boys?
Know you love me like ain't nobody could, boy
If you want it, boy, you got it
Ain't you ever seen a princess be a bad bitch?

We got that hood love
We got that good love
We got that hot love
We got that ""I don't give a what"" love
We got that one life
Gimme that all night
We got that Bonnie and Clyde love
They say it's wrong (They say it's wrong)
But, that's the way you turn me on (You turn me on, babe)
We got that hood love
We got that good love
Make me make bad
Boy, you make me make bad decisions (Bad decision)
Bad
Boy, you make me make bad decisions (Ooh)
Bad (Mm, yeah)
Boy, you make me make bad decisions (Bad decision)
Bad (Bad)
Boy, you make me make bad decisions"
Dangerous Woman,Touch It,"How do I make the phone ring?
Why do I even care?
How are you all around me, when you're not really there? (Mm)
When you're not really there? (Hey, yeah, mm)
How do I feel you on me, when you're not on my skin?
Why do you say you want me, then tell me you're not coming in? (Ah, yeah)
Baby, just come on in (Mm, yeah)

'Cause every time I'm with you, I go into a zone
And I remember all the places you wanna go
Take me all the way (Ooh)
Ain't nobody gonna touch it, touch it, touch it
'Cause every time I see you, I don't wanna behave
I'm tired of being patient, so let's pick up the pace
Take me all the way (Ooh)
Ain't nobody gonna touch it, touch it, touch it

How do you know I'm breathing, when I'm holding my breath?
Why don't we face the danger, just for the night and forget? (Ayy)
Baby, let's just forget (No-oh)

Remind me why we're taking a break
It's obviously insane
'Cause we both know what we want
So why don't we fall in love?
Baby, let's fall in love, oh-oh

'Cause every time I'm with you, I go into a zone
And I remember all the places you wanna go
Take me all the way (Ooh)
Ain't nobody gonna touch it, touch it, touch it
'Cause every time I see you, I don't wanna behave
I'm tired of being patient, so let's pick up the pace
Take me all the way (Ooh)
Ain't nobody gonna touch it, touch it, touch it

Oh, ain't nobody gonna touch it, touch it, touch it
Baby, ain't nobody gonna touch it, touch it, touch it (Ain't no-bo-dy, babe)
Baby, ain't nobody gonna touch it, touch it, touch it (Oh)
Ain't nobody gonna touch it (Oh, no, ayy)

Remind me why we're taking a break
It's obviously insane
'Cause we both know what we want
So why don't we fall in love?
Baby, let's be in love

'Cause every time I'm with you, I go into a zone
And I remember all the places you wanna go
Take me all the way (Ooh)
No, ain't nobody gonna touch it, touch it, touch it (Ain't nobody gonna)
'Cause every time I see you, I don't wanna behave (Behave)
I'm tired of being patient, so let's pick up the pace
Take me all the way (Ooh; Ooh)
Ain't nobody gonna touch it, touch it, touch it (Ah-ah, ooh)

(Ooh, ooh-ooh)
Baby, ain't nobody gonna (Baby)
Baby, ain't nobody gonna (Ah-ah; Woah, oh)
Baby, ain't nobody gonna (Ooh-ooh)"
